Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[NJM],Iceman,Tokyo Ghoulz (TTG),Goals,2.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],yurtle,Pennsylvania Ball-Peen Hammers (BPH),Goals,3.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Tupac,Tokyo Ghoulz (TTG),Goals,2.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Orbit,Tokyo Ghoulz (TTG),Goals,0.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Hobo Jobo,Tokyo Ghoulz (TTG),Goals,1.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],hzr,Pennsylvania Ball-Peen Hammers (BPH),Goals,6.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],myach,Pennsylvania Ball-Peen Hammers (BPH),Goals,0.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Tupac,Tokyo Ghoulz (TTG),Saves,0.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],hzr,Pennsylvania Ball-Peen Hammers (BPH),Saves,1.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[BPH],myach,Pennsylvania Ball-Peen Hammers (BPH),Saves,1.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[CSC],Cherries,Pennsylvania Ball-Peen Hammers (BPH),Saves,0.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Orbit,Tokyo Ghoulz (TTG),Saves,1.00,
Open Division,Wed 08 Jul 2020 10:00 PM,Pennsylvania Ball-Peen Hammers (BPH),Tokyo Ghoulz (TTG),[TSG],Hobo Jobo,Tokyo Ghoulz (TTG),Saves,1.00,
