Fixture Group,Fixture Date,Home Team,Away Team,First Name,Last Name,Team,Stat Desc,Stat Value,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[COW],Timmy,Miami Vice (MIA),Saves,3.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[BOLT],Spleen,Olympia Omegas (OO),Saves,0.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),TheHuman,Shieldz,Olympia Omegas (OO),Shots,0.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[BOLT],Spleen,Olympia Omegas (OO),Shots,4.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[MIA],Rodeo,Miami Vice (MIA),Shots,3.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[COW],Timmy,Miami Vice (MIA),Shots,2.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[CLP],meatsale,Miami Vice (MIA),Shots,10.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Miami Vice (MIA),Olympia Omegas (OO),[DCU],dave,Olympia Omegas (OO),Shots,4.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Richmond Rats (RR),Columbus Clappers (CLP),[COW],Kspyre,Richmond Rats (RR),Assists,3.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Richmond Rats (RR),Columbus Clappers (CLP),[CLP],Occelloth,Columbus Clappers (CLP),Assists,3.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Richmond Rats (RR),Columbus Clappers (CLP),[RR],Rath,Richmond Rats (RR),Assists,0.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Richmond Rats (RR),Columbus Clappers (CLP),[NEH],Reno,Richmond Rats (RR),Assists,2.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Richmond Rats (RR),Columbus Clappers (CLP),[CLP],Panarin,Columbus Clappers (CLP),Assists,3.00,
Pro Division,Wed 09 Sep 2020 10:00 PM,Richmond Rats (RR),Columbus Clappers (CLP),[COB],TyrantK,Columbus Clappers (CLP),Assists,0.00,
